Unique_Query_ID,Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Method,Estimate,exact_result,Time,Acceptance_Rate
M0_PS_V2_V0,0,2,8,10,2,4000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5323828539544465, 0.6581881011627734]","[0.3884680984577254, 0.8019097709840313]",6.800740718841553,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,4000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.27878386582365294, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",6.800740718841553,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,4000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",6.800740718841553,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,5000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6110260671408538]","[0.3408877774546624, 1.0]",8.434391260147095,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,5000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5323828539544465, 0.6581881011627734]","[0.3884680984577254, 0.8019097709840313]",8.434391260147095,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,5000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",8.434391260147095,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,5000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",8.434391260147095,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,6000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6125998915124051]","[0.3408877774546624, 1.0]",10.097463130950928,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,6000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5323828539544465, 0.6581881011627734]","[0.3884680984577254, 0.8019097709840313]",10.097463130950928,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,6000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",10.097463130950928,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,6000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",10.097463130950928,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,7000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6125998915124051]","[0.3408877774546624, 1.0]",11.710842370986938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,7000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5323828539544465, 0.6690163672323534]","[0.3884680984577254, 0.8019097709840313]",11.710842370986938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,7000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",11.710842370986938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,7000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",11.710842370986938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,8000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4255867353792338, 0.6125998915124051]","[0.3408877774546624, 1.0]",13.325843572616575,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,8000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5217718166866577, 0.6690163672323534]","[0.3884680984577254, 0.8019097709840313]",13.325843572616575,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,8000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",13.325843572616575,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,8000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",13.325843572616575,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,9000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4208445567353039, 0.6125998915124051]","[0.3408877774546624, 1.0]",14.989687204360962,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,9000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5217718166866577, 0.6690163672323534]","[0.3884680984577254, 0.8019097709840313]",14.989687204360962,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,9000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",14.989687204360962,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,9000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42664405650948733, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",14.989687204360962,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,10000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4208445567353039, 0.6125998915124051]","[0.3408877774546624, 1.0]",16.603097915649414,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,10000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5217718166866577, 0.6690163672323534]","[0.3884680984577254, 0.8019097709840313]",16.603097915649414,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,10000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.267418466940167, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",16.603097915649414,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,10000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42664405650948733, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",16.603097915649414,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,5,2,1000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5001075499337284, 0.6503375661530669]","[0.3408877774546624, 1.0]",1.8492493629455569,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,5,2,1000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5050604380544663, 0.6525156283512749]","[0.3884680984577254, 1.0]",1.8492493629455569,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,5,2,1000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.3324359001880055, 0.4919864923510997]","[0.1076331415104109, 0.3157436218866076]",1.8492493629455569,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,5,2,1000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4062353169399578, 0.5336509757244519]","[0.1450958357819677, 0.3735077252366903]",1.8492493629455569,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,5,2,2000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4818541863305858, 0.6503375661530669]","[0.3408877774546624, 1.0]",3.5032613277435303,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,5,2,2000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5050604380544663, 0.6525156283512749]","[0.3884680984577254, 1.0]",3.5032613277435303,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,5,2,2000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.3324359001880055, 0.4919864923510997]","[0.1076331415104109, 0.3157436218866076]",3.5032613277435303,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,5,2,2000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4062353169399578, 0.5336509757244519]","[0.1450958357819677, 0.3735077252366903]",3.5032613277435303,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,5,2,3000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4776427683380615, 0.6503375661530669]","[0.3408877774546624, 1.0]",5.3373703956604,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,5,2,3000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5050604380544663, 0.6528059302885316]","[0.3884680984577254, 1.0]",5.3373703956604,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
